baujahr,stadt,Bevölkerung,DistanzKöln,DistanzSaarbrücken,DistanzFrankfurt,DistanzLuxemburg,kaufpreis,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,Haus,Wohnung
2020,TRIER,110636,174,99,196,49,426500,107,2,1,0,1,1,0
2009,TRIER,110636,174,99,196,49,530000,144,3,2,1,1,1,0
2020,BOLLENDORF,1679,172,125,227,28,565000,165,3,1,2,1,1,0
1805,OBERWEIS,578,153,132,208,76,59000,100.0,3,1,1,1,1,0
1819,RITTERSDORF,1444,142,127,200,71,149000,199.0,5,1,1,1,1,0
1878,BOLLENDORF,1679,172,125,227,28,395000,225.0,4,1,5,1,1,0
1878,WINTERSPELT,807,133,168,226,63,87000,238.0,3,1,3,1,1,0
1880,LIEG,426,154,151,127,178,238000,245.0,5,1,2,1,1,0
1890,BURBACH,14456,107,7,117,235,219000,130.0,3,2,2,1,1,0
1900,AMMELDINGEN BEI NEUERBURG,275,137,160,219,43,355000,183.0,4,1,8,1,1,0
2020,TRIER,110636,174,99,196,49,393500,83,1,1,0,0,0,1
1955,TRIER,110636,174,99,196,49,289500,90,3,2,1,0,0,1
1968,TRIER,110636,174,99,196,49,974800,276,4,4,0,1,1,0
1900,TABEN-RODT,870,205,63,237,71,438000,264.0,6,3,1,1,1,0
1900,WASSERLIESCH,2221,183,86,204,61,175000,160.0,5,2,1,0,1,0
1940,SAARBRÜCKEN,178151,262,0,185,100,386000,160,3,1,0,1,1,0
1972,SAARBRÜCKEN,178151,262,0,185,100,99500,68,1,1,0,0,0,1
1911,TABEN-RODT,870,205,63,237,71,100000,160.0,3,2,1,1,1,0
1912,BOLLENDORF,1679,172,125,227,28,389000,148.0,3,2,1,1,1,0
1920,WASSERLIESCH,2221,183,86,204,61,349000,140.0,3,1,2,1,1,0
1925,ZEMMER,2832,163,104,182,87,239000,155.0,4,1,4,1,1,0
1932,IRREL,1400,160,117,215,37,480000,150.0,3,1,5,1,1,0
1933,METTLACH,12475,215,53,228,72,385000,165.0,3,2,1,1,1,0
1940,NOHFELDEN,9878,225,65,176,103,670000,275.0,3,3,2,1,1,0
1940,NOHFELDEN,9878,225,65,176,103,670000,275.0,3,3,2,1,1,0
1940,NOHFELDEN,9878,225,65,176,103,670000,275.0,3,3,2,1,1,0
1945,ECHTERNACHERBRÜCK,704,164,117,220,37,310000,106.0,3,2,1,0,0,1
1952,NONNWEILER,9000,210,55,189,111,105000,140.0,6,2,1,1,1,0
1959,ERNZEN,429,165,122,220,37,219000,289.0,5,4,3,0,0,0
1960,RASCHEID,527,209,71,167,101,339000,270.0,4,2,2,1,1,0
1962,MALBERG,606,142,131,190,83,298800,200.0,3,2,2,1,1,0
1962,MALBERG,606,142,131,190,83,324700,200.0,3,2,2,1,1,0
1963,BURBACH,14456,107,7,117,235,185000,160.0,7,2,1,1,1,0
1967,NONNWEILER,9000,210,55,189,111,215000,280.0,4,4,2,0,1,0
1968,ERNZEN,429,165,122,220,37,450000,220.0,8,4,6,1,1,0
1972,WIERSDORF,229,145,132,202,76,483000,340.0,11,4,2,1,1,0
1973,PERL,7267,218,64,239,38,499000,220.0,4,2,2,0,1,0
1976,METTENDORF,1130,161,140,216,55,779000,317.0,5,3,3,1,1,0
1978,TRIER,110636,174,99,196,49,325000,99.52,2,1,1,1,0,1
1978,ZWEIFELSCHEID,40,140,163,222,39,395000,168.0,4,2,21,1,1,0
1981,SAARBURG,6293,196,74,209,70,425000,256.0,5,3,3,1,1,0
1983,SAARBRÜCKEN,178151,262,0,185,100,469000,160.0,2,2,1,0,1,0
1985,BOLLENDORF,1679,172,125,227,28,439000,210.0,4,2,1,1,1,0
1996,PERL,7267,218,64,239,38,589500,150.0,3,2,2,0,1,0
1996,METTLACH,12475,215,53,228,72,127000,52.0,1,1,1,0,0,1
1996,TRIER,110636,174,99,196,49,215000,83.0,2,1,1,0,0,1
2007,PERL,7267,218,64,239,38,395000,105.0,2,2,2,0,0,0
2007,BOLLENDORF,1679,172,125,227,28,670000,165.0,5,1,4,1,1,0
2007,PALZEM,1408,205,75,250,60,1250000,240.0,5,2,1,1,1,0
2008,PERL,7267,218,64,239,38,335000,105.0,2,1,1,0,0,1
2008,ECHTERNACHERBRÜCK,704,164,117,220,37,385000,115.0,2,1,1,0,0,1
2008,ECHTERNACHERBRÜCK,704,164,117,220,37,375000,96.32,1,1,2,0,0,0
2009,MERZIG,30770,220,46,221,60,365000,102.0,2,1,1,0,1,0
2010,GROßKAMPENBERG,162,135,170,229,53,599000,350.0,4,2,4,1,1,0
2010,SPEICHER,3108,161,111,190,62,769000,130.0,2,3,2,1,1,0
2012,PERL,7267,218,64,239,38,689000,140.0,3,1,6,1,1,0
2012,IRREL,1400,160,117,215,37,499000,194.49,3,2,3,0,0,0
2012,MERZIG,30770,220,46,221,60,385000,150.0,2,1,2,0,1,0
2013,SAARBRÜCKEN,178151,262,0,185,100,280000,132.0,2,1,1,0,0,1
1896,TRIER,110636,174,99,196,49,524900,243,8,4,0,0,1,0
2020,TRIER,110636,174,99,196,49,726900,153,4,1,1,0,1,0
2020,TRIER,110636,174,99,196,49,487200,103,2,2,0,0,0,1
2013,ARZFELD,1352,131,159,218,48,539000,163.0,3,2,2,1,1,0
2014,PERL,7267,218,64,239,38,380000,160.0,1,2,1,1,0,0
2015,NENNIG,1149,210,71,246,24,650000,150.0,3,1,1,1,1,0
2015,PERL-OBERPERL,483,220,64,238,42,349000,87.0,2,1,1,1,0,1
2016,BLIESKASTEL,22422,280,26,171,167,2500000,400.0,9,3,2,1,1,0
2016,TRIER,110636,174,99,196,49,965000,197.0,5,2,2,0,0,0
2017,METTLACH-TÜNSDORF,900,226,56,231,48,535000,150.0,4,2,2,1,1,0
2017,ECHTERNACHERBRÜCK,704,164,117,220,37,295000,57.15,1,1,1,0,0,1
2017,ECHTERNACHERBRÜCK,704,164,117,220,37,570000,121.0,3,2,2,1,0,1
2018,PERL-BESCH,1304,213,69,243,40,607000,146.0,2,1,1,1,1,0
2020,PERL,7267,218,64,239,38,565000,148.0,3,2,4,1,1,0
2020,TRIER,110636,174,99,196,49,294000,100.0,1,1,2,0,0,1
2020,BLIESKASTEL,22422,280,26,171,167,2500000,400.0,9,3,2,1,1,0
1983,SAARBRÜCKEN,178151,262,0,185,100,445000,160,2,2,2,1,1,0
1975,SAARBRÜCKEN,178151,262,0,185,100,128000,100,4,1,0,0,1,0
2020,BOLLENDORF,1679,172,125,227,28,565000,160.0,3,1,1,1,1,0
2020,PERL,7267,218,64,239,38,380000,160.0,1,2,1,1,0,0
2020,METTLACH-TÜNSDORF,900,226,56,231,48,535000,150.0,4,2,2,1,1,0
2020,BOLLENDORF,1679,172,125,227,28,575000,162.0,3,1,1,1,1,0
2020,NEWEL,2913,164,107,203,45,295000,90.0,2,1,2,0,0,0
2020,HOLSTHUM,566,159,124,214,36,675000,145.5,9,6,1,0,1,0
2020,PERL,7267,218,64,239,38,475000,180.0,3,1,2,1,1,0
2020,SAARBRÜCKEN,178151,262,0,185,100,280000,132.0,2,1,1,0,0,1
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,BITBURG,14002,146,123,196,67,439593,133.21,3,2,1,0,0,1
2020,BITBURG,14002,146,123,196,67,425502,135.08,3,2,1,0,0,1
2020,TRIER,110636,174,99,196,49,755761,151.9,4,1,1,0,0,1
2020,TRIER,110636,174,99,196,49,417612,95.02,2,1,1,0,0,0
2020,TRIER,110636,174,99,196,49,620002,141.07,2,2,1,0,0,0
2020,TRIER,110636,174,99,196,49,439865,105.61,3,2,2,0,0,1
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,TRIER,110636,174,99,196,49,949000,120.0,2,1,2,0,0,0
2020,NENNIG,1149,210,71,246,24,650000,150.0,3,1,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,280000,134.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,280000,134.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,254000,119.0,3,2,1,1,1,0
2020,PERL,7267,218,64,239,38,565000,148.0,3,2,4,1,1,0
2020,PRÜM,5510,110,157,216,100,595000,220.0,7,2,1,1,1,0
2020,TRIER,110636,174,99,196,49,294000,100.0,1,1,2,0,0,1
1971,TRIER,110636,174,99,196,49,399000,150,4,1,1,1,1,0
1965,TRIER,110636,174,99,196,49,670000,180,3,2,1,1,1,0
1996,TRIER,110636,174,99,196,49,215000,83,2,1,1,0,0,1
2004,TRIER,110636,174,99,196,49,345000,91,2,1,0,1,1,0
2020,BOLLENDORF,1679,172,125,227,28,698000,242,4,2,2,1,1,0
1976,BOLLENDORF,1679,172,125,227,28,227000,82,2,2,1,0,0,1
1985,BOLLENDORF,1679,172,125,227,28,439000,210,4,2,1,1,1,0
1996,SAARBRÜCKEN,178151,262,0,185,100,690000,306,4,2,1,1,1,0
1983,SAARBRÜCKEN,178151,262,0,185,100,259000,160,3,2,1,0,1,0