kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
290000,1822,0,1,185.0,4,2,4,1,VILLERS-SOUS-PAREID,79,0,0,0,1
245000,1838,0,0,130.0,3,1,3,1,BOISMONT,418,0,0,0,1
890000,1850,0,1,500.0,11,2,2,1,BASLIEUX,594,0,0,0,1
1100000,1855,0,1,379.0,4,2,7,1,HAUCOURT-MOULAINE,3076,0,0,0,1
249000,1863,0,1,256.0,4,2,1,1,BETTANGE,236,0,0,0,1
630000,1878,0,1,280.0,6,3,2,1,ROUSSY-LE-VILLAGE,1332,0,0,0,1
349000,1880,0,1,306.0,6,2,1,1,LONGUYON,5397,0,0,0,1
369000,1880,0,1,306.0,6,2,1,1,LONGUYON,5397,0,0,0,1
298000,1900,0,1,240.0,5,2,35,1,BETTAINVILLERS,356,0,0,0,1
680000,1900,0,1,400.0,8,3,51,1,PIENNES,2480,0,0,0,1
185000,1900,0,1,178.0,4,1,2,0,RÉHON,3870,0,0,0,1
795000,1904,0,1,220.0,5,1,3,1,AUDUN-LE-TICHE,6753,0,0,0,1
620000,1905,0,1,235.0,4,2,2,0,ROUSSY-LE-VILLAGE,1332,0,0,0,1
430000,1910,0,1,300.0,12,1,4,1,RÉHON,3870,0,0,0,1
149900,1930,1,0,92.0,3,1,1,0,KOENIGSMACKER,2222,0,0,0,1
267000,1930,0,1,122.58,3,1,1,0,HETTANGE-GRANDE,7618,0,0,0,1
233500,1930,0,1,300.0,3,1,1,1,BERG-SUR-MOSELLE,426,0,0,0,1
236250,1930,0,1,300.0,3,1,1,1,BERG-SUR-MOSELLE,426,0,0,0,1
330750,1930,0,1,175.0,4,1,5,1,FAMECK,13814,0,0,0,1
665000,1930,0,1,340.0,5,2,2,1,BAZAILLES,143,0,0,0,1
296000,1940,0,1,110.0,3,2,1,0,FLORANGE,11924,0,0,0,1
148000,1940,1,0,110.2,4,1,2,0,AUMETZ,2307,0,0,0,1
149000,1940,0,1,100.0,3,1,1,1,VILLERUPT,9552,0,0,0,1
199000,1940,0,1,90.0,2,1,1,1,AUDUN-LE-TICHE,6753,0,0,0,1
295000,1948,0,1,135.0,30,15,1,0,LONGUYON,5397,0,0,0,1
185000,1948,0,1,80.89,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
270000,1950,0,1,130.0,4,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
210000,1950,0,1,300.0,4,1,1,0,ZOUFFTGEN,1153,0,0,0,1
265000,1950,0,1,260.0,4,2,2,0,FLORANGE,11924,0,0,0,1
159000,1954,0,1,60.0,2,1,1,1,AUDUN-LE-TICHE,6753,0,0,0,1
436000,1955,0,1,140.0,4,2,4,1,BERTRANGE,2762,0,0,0,1
385000,1957,0,1,155.0,4,2,1,1,VOLMERANGE-LES-MINES,2156,0,0,0,1
169500,1957,1,0,90.0,3,1,1,0,VILLERUPT,9552,0,0,0,1
158000,1959,0,1,85.0,3,1,1,1,MAIRY-MAINVILLE,561,0,0,0,1
89900,1960,0,1,90.0,3,1,2,1,LONGUYON,5397,0,0,0,1
320000,1960,0,1,85.0,3,1,7,0,VILLERUPT,9552,0,0,0,1
275000,1960,0,1,120.0,3,1,1,1,VILLERUPT,9552,0,0,0,1
100000,1960,1,0,60.0,1,1,1,0,VILLERUPT,9552,0,0,0,1
267000,1966,1,0,115.0,3,1,1,0,THIONVILLE,40665,0,0,0,1
672000,1968,0,1,243.0,4,3,1,0,THIONVILLE,40665,0,0,0,1
1199000,1970,0,1,418.0,5,2,3,0,DISTROFF,1701,0,0,0,1
323000,1970,0,1,95.0,3,1,1,1,THIONVILLE,40665,0,0,0,1
178000,1970,1,0,62.0,2,1,1,0,THIONVILLE,40665,0,0,0,1
260000,1970,1,0,129.0,3,1,1,0,YUTZ,16064,0,0,0,1
110000,1970,1,0,71.0,3,1,1,0,MONTIGNY-LÈS-METZ,21430,0,0,0,1
395000,1974,0,1,113.53,4,1,2,1,OTTANGE,2924,0,0,0,1
420000,1974,0,1,165.0,3,1,1,1,VALMESTROFF,270,0,0,0,1
795000,1975,0,1,250.0,6,3,2,1,THIONVILLE,40665,0,0,0,1
670000,1975,0,1,280.0,5,1,3,1,MANCE,619,0,0,0,1
127000,1977,1,0,71.39,2,1,1,0,VILLERUPT,9552,0,0,0,1
382650,1977,0,1,126.0,3,1,1,1,MONDORFF,555,0,0,0,1
1290000,1980,0,1,340.0,3,3,2,1,LONGUYON,5397,0,0,0,1
395000,1980,0,1,166.0,3,1,2,1,CHENIÈRES,637,0,0,0,1
320000,1980,0,1,140.0,3,1,1,1,VILLERS-LA-CHÈVRE,568,0,0,0,1
450000,1980,0,1,302.62,3,2,2,1,ROSBRUCK,772,0,0,0,1
499000,1982,0,1,160.0,5,1,1,1,OTTANGE,2924,0,0,0,1
267000,1983,0,1,145.0,3,1,2,0,HETTANGE-GRANDE,7618,0,0,0,1
870000,1983,0,1,286.0,4,2,1,1,THIONVILLE,40665,0,0,0,1
525000,1985,0,1,190.0,3,1,1,1,THIONVILLE,40665,0,0,0,1
399000,1985,0,1,114.28,3,1,1,1,OTTANGE,2924,0,0,0,1
350000,1985,1,0,285.0,5,1,1,0,THIONVILLE,40665,0,0,0,1
375000,1988,0,1,145.0,4,1,1,0,TRESSANGE,2069,0,0,0,1
130000,1993,0,1,75.0,2,1,1,1,FUTEAU,165,0,0,0,1
397000,1993,0,1,162.0,3,1,4,1,METZERESCHE,908,0,0,0,1
275000,1994,0,1,137.0,4,2,1,1,VILLERUPT,9552,0,0,0,1
959000,1995,0,1,270.0,4,3,2,0,FONTOY,3011,0,0,0,1
550000,1999,0,1,170.0,4,2,5,1,BEYREN-LÈS-SIERCK,536,0,0,0,1
282000,2001,1,0,111.0,3,1,1,0,HETTANGE-GRANDE,7618,0,0,0,1
185000,2001,1,0,647.0,2,1,1,1,TERVILLE,6804,0,0,0,1
535000,2001,0,1,190.0,4,2,1,1,COSNES-ET-ROMAIN,2652,0,0,0,1
599000,2002,0,1,154.0,3,1,3,1,OTTANGE,2924,0,0,0,1
599000,2002,0,1,154.0,3,1,3,1,TIERCELET,650,0,0,0,1
239000,2003,1,0,82.89,2,1,2,0,HETTANGE-GRANDE,7618,0,0,0,1
759000,2003,1,0,235.0,3,1,10,0,ZOUFFTGEN,1153,0,0,0,1
655000,2004,0,1,250.0,7,2,1,1,ENTRANGE,1269,0,0,0,1
175000,2004,1,0,71.45,2,1,1,0,YUTZ,16064,0,0,0,1
410000,2005,0,1,169.0,4,1,2,0,LEXY,3540,0,0,0,1
399000,2005,0,1,180.0,6,2,11,1,METZ,117492,0,0,0,1
365000,2006,0,1,152.0,3,1,1,1,GAVISSE,564,0,0,0,1
131000,2006,1,0,77.0,2,1,1,0,HUNTING,742,0,0,0,1
450000,2006,0,1,193.0,3,2,1,0,SAINT-PIERREVILLERS,160,0,0,0,1
520000,2007,0,1,244.0,4,1,1,0,COSNES-ET-ROMAIN,2652,0,0,0,1
695600,2007,0,1,165.0,4,3,2,1,MONDORFF,555,0,0,0,1
922000,2007,0,1,200.0,4,2,2,1,MONDORFF,555,0,0,0,1
515000,2007,0,1,200.0,3,1,1,1,NEUFCHEF,2557,0,0,0,1
189000,2007,1,0,67.0,2,1,1,0,THIONVILLE,40665,0,0,0,1
595000,2008,0,1,175.0,3,2,4,0,CRUSNES,1592,0,0,0,1
435000,2008,0,1,180.0,5,1,2,1,MALLING,623,0,0,0,1
395000,2008,0,1,173.0,4,1,2,1,BOULANGE,2501,0,0,0,1
199000,2009,1,0,70.0,1,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
237000,2009,1,0,86.0,2,1,2,0,CATTENOM,2735,0,0,0,1
485000,2009,0,1,118.0,4,1,4,0,LEXY,3540,0,0,0,1
169000,2009,1,0,75.0,2,1,1,0,FLORANGE,11924,0,0,0,1
825000,2009,0,1,231.0,4,2,5,1,THIONVILLE,40665,0,0,0,1
569000,2009,0,1,215.0,5,1,1,1,MÉCLEUVES,1172,0,0,0,1
480000,2009,0,1,177.0,4,2,2,0,TRESSANGE,2069,0,0,0,1
154000,2009,1,0,67.05,2,1,1,0,GUÉNANGE,7172,0,0,0,1
113000,2009,1,0,455.0,1,1,1,0,GUÉNANGE,7172,0,0,0,1
113000,2009,1,0,455.0,1,1,1,0,GUÉNANGE,7172,0,0,0,1
113000,2009,1,0,46.65,1,1,1,0,GUÉNANGE,7172,0,0,0,1
102600,2009,1,0,44.55,1,1,1,0,GUÉNANGE,7172,0,0,0,1
530000,2010,0,1,169.0,4,1,1,0,COSNES-ET-ROMAIN,2652,0,0,0,1
670000,2010,0,1,224.0,6,1,4,1,AUDUN-LE-TICHE,6753,0,0,0,1
899000,2010,0,1,257.0,5,1,2,1,VOLMERANGE-LES-MINES,2156,0,0,0,1
495000,2011,0,1,180.0,4,2,2,1,VOLSTROFF,1906,0,0,0,1
194000,2011,1,0,72.0,2,1,1,0,TERVILLE,6804,0,0,0,1
782000,2011,0,1,260.0,5,3,5,1,VOLMERANGE-LES-MINES,2156,0,0,0,1
175000,2012,1,0,70.0,2,1,1,0,VILLERUPT,9552,0,0,0,1
165000,2012,1,0,60.0,2,1,3,0,VILLERUPT,9552,0,0,0,1
335000,2013,0,1,135.0,3,1,1,1,ATTON,804,0,0,0,1
389000,2014,0,1,140.0,3,2,1,1,BREISTROFF-LA-GRANDE,650,0,0,0,1
489000,2014,0,1,140.0,3,2,2,1,BOUSSE,3098,0,0,0,1
179000,2014,0,0,61.0,2,1,2,1,BOUSSE,3098,0,0,0,1
499000,2014,0,1,157.77,3,1,2,1,OTTANGE,2924,0,0,0,1
660000,2014,0,1,289.0,4,1,6,1,ROSBRUCK,772,0,0,0,1
289000,2015,1,0,78.28,2,1,4,0,HETTANGE-GRANDE,7618,0,0,0,1
178500,2015,1,0,51.6,1,1,1,0,YUTZ,16064,0,0,0,1
349000,2015,0,1,117.0,3,2,1,1,BRIEY,5729,0,0,0,1
365000,2015,0,1,101.0,3,2,1,1,PUTTELANGE-LÈS-THIONVILLE,956,0,0,0,1
389000,2016,0,1,156.0,3,1,2,1,LEXY,3540,0,0,0,1
285000,2017,0,1,135.0,4,1,1,1,BOUSSE,3098,0,0,0,1
138000,2017,0,0,70.0,1,1,1,0,CLOUANGE,3708,0,0,0,1
338000,2018,1,0,95.0,2,2,4,0,HETTANGE-GRANDE,7618,0,0,0,1
349000,2019,0,0,138.0,3,1,2,1,TELLANCOURT,551,0,0,0,1
464000,2019,0,1,108.4,3,1,1,1,MONDORFF,555,0,0,0,1
250000,2019,0,1,163.0,4,1,1,0,VIONVILLE,186,0,0,0,1
349000,2020,0,1,120.0,3,1,2,1,VILLERS-LA-MONTAGNE,1482,0,0,0,1
289000,2020,0,1,110.0,3,1,1,1,LESMÉNILS,498,0,0,0,1
299000,2020,0,1,100.0,3,1,1,1,WOIPPY,13608,0,0,0,1
299000,2020,0,1,110.0,3,2,1,1,LONGUYON,5397,0,0,0,1
279000,2020,0,1,110.0,3,1,2,0,KÉDANGE-SUR-CANNER,1085,0,0,0,1
255000,2020,0,1,120.0,3,2,2,1,MERCY-LE-BAS,1271,0,0,0,1
279000,2020,0,1,110.0,3,1,1,0,CONDÉ-NORTHEN,661,0,0,0,1
419000,2020,0,1,120.0,4,1,2,1,APACH,1022,0,0,0,1
269000,2020,0,1,110.0,3,1,2,1,CREUTZWALD,13255,0,0,0,1
249000,2020,0,1,110.0,4,2,2,1,SARREGUEMINES,21236,0,0,0,1
299000,2020,0,1,110.0,4,1,1,1,SAULNY,1400,0,0,0,1
299000,2020,0,1,110.0,3,1,2,1,SAULNY,1400,0,0,0,1
269000,2020,0,1,110.0,4,1,1,1,KÉDANGE-SUR-CANNER,1085,0,0,0,1
249000,2020,0,1,110.0,3,1,1,1,BARST,586,0,0,0,1
239000,2020,0,1,110.0,3,1,1,1,SARREGUEMINES,21236,0,0,0,1
269000,2020,0,1,130.0,4,2,2,1,SARREGUEMINES,21236,0,0,0,1
259000,2020,0,1,110.0,3,2,1,1,FORBACH,21639,0,0,0,1
239000,2020,0,1,110.0,3,1,2,1,HELLIMER,573,0,0,0,1
309000,2020,0,1,110.0,4,1,1,1,WOIPPY,13608,0,0,0,1
275000,2020,0,1,105.0,3,1,1,0,EBERSVILLER,921,0,0,0,1
239000,2020,0,1,105.0,3,1,1,1,HOMBOURG-HAUT,6756,0,0,0,1
279000,2020,0,1,105.0,4,1,1,1,ORNY,371,0,0,0,1
285000,2020,0,1,110.0,3,1,1,1,ORNY,371,0,0,0,1
329000,2020,0,1,120.0,3,2,1,1,SAULNY,1400,0,0,0,1
282000,2020,0,1,105.0,3,1,1,1,RONCOURT,992,0,0,0,1
279000,2020,0,1,100.0,3,1,1,1,VARIZE,540,0,0,0,1
265000,2020,0,1,95.0,3,1,1,1,KÉDANGE-SUR-CANNER,1085,0,0,0,1
320000,2020,0,1,120.0,3,1,1,1,SAULNY,1400,0,0,0,1
249000,2020,0,1,105.0,4,1,1,1,FORBACH,21639,0,0,0,1
235000,2020,0,1,110.0,3,1,1,1,LÉNING,313,0,0,0,1
285000,2020,0,1,110.0,3,1,1,1,KÉDANGE-SUR-CANNER,1085,0,0,0,1
217900,2020,1,0,67.28,2,1,1,0,METZ,117492,0,0,0,1
350000,2020,1,0,96.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,1,0,96.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,1,0,95.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,1,0,95.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
345000,2020,0,1,112.0,3,1,1,1,RODEMACK,1167,0,0,0,1
322000,2020,1,0,89.0,3,1,2,0,AUDUN-LE-TICHE,6753,0,0,0,1
287000,2020,1,0,70.0,2,1,2,0,AUDUN-LE-TICHE,6753,0,0,0,1
187000,2020,1,0,50.0,2,1,2,0,AUDUN-LE-TICHE,6753,0,0,0,1
258000,2020,1,0,84.02,2,1,1,0,TRESSANGE,2069,0,0,0,1
256000,2020,1,0,84.02,2,1,1,0,TRESSANGE,2069,0,0,0,1
256000,2020,1,0,84.02,2,1,1,0,TRESSANGE,2069,0,0,0,1
269000,2020,1,0,81.15,2,1,1,1,TRESSANGE,2069,0,0,0,1
149537,2020,1,0,52.82,1,1,1,0,AUMETZ,2307,0,0,0,1
379000,2020,0,1,103.94,3,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,0,1,150.0,3,2,3,0,KANFEN,1142,0,0,0,1
489000,2020,0,1,160.0,3,1,3,1,KIRSCH-LÈS-SIERCK,313,0,0,0,1
349000,2020,0,0,138.0,3,1,2,1,TELLANCOURT,551,0,0,0,1
