kaufpreis,baujahr,Wohnung,Haus,fläche_m2,schlafzimmer,badezimmer,parkplätze,garten,stadt,Bevölkerung,Deutschland,Belgien,Luxemburg,Frankreich
399000,2020,0,1,95.65,3,1,1,0,THIONVILLE,40665,0,0,0,1
587000,2020,0,1,137.61,4,1,2,1,THIONVILLE,40665,0,0,0,1
179000,2020,1,0,57.6,1,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
188000,2020,1,0,55.0,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
393100,2020,0,1,133.0,3,2,1,1,BEYREN-LÈS-SIERCK,536,0,0,0,1
672000,2020,0,1,243.0,4,3,1,0,THIONVILLE,40665,0,0,0,1
459000,2020,0,1,126.58,4,1,1,0,THIONVILLE,40665,0,0,0,1
259000,2020,0,1,110.0,3,1,1,0,PONTOY,404,0,0,0,1
349000,2020,0,1,120.0,3,1,2,1,VILLERS-LA-MONTAGNE,1482,0,0,0,1
249000,2020,0,1,100.0,3,1,1,0,HALSTROFF,327,0,0,0,1
259000,2020,0,1,120.0,3,1,1,0,BEUVEILLE,772,0,0,0,1
529000,2020,0,1,140.0,3,2,2,1,PLAPPEVILLE,2029,0,0,0,1
289000,2020,0,1,110.0,3,1,1,1,LESMÉNILS,498,0,0,0,1
299000,2020,0,1,100.0,3,1,1,1,WOIPPY,13608,0,0,0,1
299000,2020,0,1,110.0,3,2,1,1,LONGUYON,5397,0,0,0,1
279000,2020,0,1,110.0,3,1,2,0,KÉDANGE-SUR-CANNER,1085,0,0,0,1
255000,2020,0,1,120.0,3,2,2,1,MERCY-LE-BAS,1271,0,0,0,1
239000,2020,0,1,110.0,3,1,2,0,SPINCOURT,840,0,0,0,1
249000,2020,0,1,110.0,3,1,1,1,SAINT-PANCRÉ,325,0,0,0,1
259000,2020,0,1,130.0,4,2,1,1,DOMMARY-BARONCOURT,764,0,0,0,1
289000,2020,0,1,120.0,4,1,2,0,TRIEUX,2521,0,0,0,1
279000,2020,0,1,110.0,3,1,1,0,CONDÉ-NORTHEN,661,0,0,0,1
419000,2020,0,1,120.0,4,1,2,1,APACH,1022,0,0,0,1
269000,2020,0,1,110.0,3,1,2,1,CREUTZWALD,13255,0,0,0,1
249000,2020,0,1,110.0,4,2,2,1,SARREGUEMINES,21236,0,0,0,1
299000,2020,0,1,110.0,4,1,1,1,SAULNY,1400,0,0,0,1
299000,2020,0,1,110.0,3,1,2,1,SAULNY,1400,0,0,0,1
269000,2020,0,1,110.0,4,1,1,1,KÉDANGE-SUR-CANNER,1085,0,0,0,1
249000,2020,0,1,110.0,3,1,1,1,BARST,586,0,0,0,1
239000,2020,0,1,110.0,3,1,1,1,SARREGUEMINES,21236,0,0,0,1
269000,2020,0,1,130.0,4,2,2,1,SARREGUEMINES,21236,0,0,0,1
239000,2020,0,1,110.0,3,1,2,1,HELLIMER,573,0,0,0,1
262000,2020,0,1,105.0,4,1,1,1,VERNÉVILLE,622,0,0,0,1
309000,2020,0,1,110.0,4,1,1,1,WOIPPY,13608,0,0,0,1
275000,2020,0,1,105.0,3,1,1,0,EBERSVILLER,921,0,0,0,1
239000,2020,0,1,105.0,3,1,1,1,HOMBOURG-HAUT,6756,0,0,0,1
279000,2020,0,1,105.0,4,1,1,1,ORNY,371,0,0,0,1
329000,2020,0,1,120.0,3,2,1,1,SAULNY,1400,0,0,0,1
265000,2020,0,1,95.0,3,1,1,1,KÉDANGE-SUR-CANNER,1085,0,0,0,1
287000,2020,1,0,70.0,2,1,2,0,AUDUN-LE-TICHE,6753,0,0,0,1
322000,2020,1,0,89.0,3,1,2,0,AUDUN-LE-TICHE,6753,0,0,0,1
201000,2020,1,0,59.0,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
569900,2020,0,1,200.0,3,2,3,1,RÉDANGE,954,0,0,0,1
201000,2020,1,0,59.0,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
188000,2020,1,0,57.6,1,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
223000,2020,1,0,62.1,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
263000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
263000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
210000,2020,1,0,62.1,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
247000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
223000,2020,1,0,66.05,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
135520,2020,1,0,48.0,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
192920,2020,1,0,68.9,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
185080,2020,1,0,66.1,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
187600,2020,1,0,67.0,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
134120,2020,1,0,47.9,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
297640,2020,0,0,106.3,3,1,1,0,LONGLAVILLE,2494,0,0,0,1
299040,2020,0,0,106.9,3,1,1,0,LONGLAVILLE,2494,0,0,0,1
134120,2020,1,0,47.9,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
185080,2020,1,0,66.1,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
135520,2020,1,0,48.0,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
172700,2020,0,0,80.2,3,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
213300,2020,0,0,85.1,3,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
212300,2020,0,0,85.2,3,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
199200,2020,0,0,80.2,3,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
199000,2020,0,0,80.2,3,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
201800,2020,0,0,80.0,3,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
202800,2020,0,0,80.4,3,1,2,1,MONT-SAINT-MARTIN,8807,0,0,0,1
247000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
223000,2020,1,0,66.05,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
247000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
247000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
247000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
223000,2020,1,0,66.05,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
210000,2020,1,0,62.1,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
230000,2020,1,0,68.15,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
230000,2020,1,0,68.15,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
235000,2020,0,1,109.0,3,1,1,1,BOUZONVILLE,3993,0,0,0,1
310000,2020,0,1,124.0,4,1,1,1,MONDORFF,555,0,0,0,1
215000,2020,0,1,90.0,3,1,1,1,METZ,117492,0,0,0,1
225000,2020,0,1,100.0,3,1,1,1,METZ,117492,0,0,0,1
310000,2020,0,1,124.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
397000,2020,0,1,101.77,3,1,2,0,THIONVILLE,40665,0,0,0,1
420000,2020,0,1,97.91,3,1,1,1,THIONVILLE,40665,0,0,0,1
392000,2020,0,1,97.64,3,1,1,1,THIONVILLE,40665,0,0,0,1
350000,2020,0,1,93.14,3,1,1,1,THIONVILLE,40665,0,0,0,1
230000,2020,1,0,68.15,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
247000,2020,1,0,78.55,2,1,1,0,AUDUN-LE-TICHE,6753,0,0,0,1
185080,2020,1,0,66.0,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
310000,2020,0,1,124.0,4,1,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,CONTZ-LES-BAINS,497,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,MONDORFF,555,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
310000,2020,0,1,124.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
225000,2020,0,1,100.0,3,1,1,1,ARS-SUR-MOSELLE,4720,0,0,0,1
225000,2020,0,1,100.0,3,1,1,1,METZ,117492,0,0,0,1
215000,2020,0,1,90.0,3,1,1,1,METZ,117492,0,0,0,1
215000,2020,0,1,90.0,3,1,1,1,ARS-SUR-MOSELLE,4720,0,0,0,1
460000,2020,0,1,140.0,3,1,3,1,COSNES-ET-ROMAIN,2652,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
179000,2020,0,1,96.0,3,1,1,1,SAINT-AVOLD,15748,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
389000,2020,0,1,112.46,3,1,4,1,THIONVILLE,40665,0,0,0,1
379000,2020,0,1,118.54,3,1,1,1,THIONVILLE,40665,0,0,0,1
379000,2020,0,1,118.54,3,1,1,1,THIONVILLE,40665,0,0,0,1
379000,2020,0,1,118.54,3,1,1,1,THIONVILLE,40665,0,0,0,1
435000,2020,0,1,137.49,3,1,2,1,THIONVILLE,40665,0,0,0,1
309000,2020,1,0,97.01,3,1,1,0,MANOM,2641,0,0,0,1
247000,2020,1,0,73.13,2,1,1,0,MANOM,2641,0,0,0,1
244000,2020,1,0,73.13,2,1,1,0,MANOM,2641,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,THIONVILLE,40665,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
159000,2020,0,0,91.0,3,1,1,1,METZ,117492,0,0,0,1
159000,2020,0,0,91.0,3,1,1,1,BOULAY-MOSELLE,5621,0,0,0,1
134120,2020,1,0,47.9,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
297640,2020,0,0,106.3,3,1,1,0,LONGLAVILLE,2494,0,0,0,1
299040,2020,0,0,106.9,3,1,1,0,LONGLAVILLE,2494,0,0,0,1
165200,2020,0,0,59.0,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
134120,2020,1,0,47.9,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
187600,2020,1,0,67.0,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
185080,2020,1,0,66.1,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
192920,2020,1,0,68.9,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
135800,2020,1,0,48.5,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
187600,2020,1,0,67.0,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
185080,2020,1,0,66.1,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
192920,2020,1,0,68.9,2,1,1,0,LONGLAVILLE,2494,0,0,0,1
135520,2020,1,0,48.0,1,1,1,0,LONGLAVILLE,2494,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
186000,2020,0,0,91.0,3,1,1,1,HERSERANGE,4361,0,0,0,1
186000,2020,0,0,91.0,3,1,1,1,HAUCOURT-MOULAINE,3076,0,0,0,1
349000,2020,0,1,180.0,3,1,4,1,VILLERUPT,9552,0,0,0,1
350000,2020,1,0,96.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,1,0,96.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,1,0,95.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
350000,2020,1,0,95.0,2,1,2,1,THIONVILLE,40665,0,0,0,1
178900,2020,0,1,115.0,3,1,1,0,ANGEVILLERS,1248,0,0,0,1
345000,2020,0,1,112.0,3,1,1,1,RODEMACK,1167,0,0,0,1
175000,2020,0,1,90.0,3,1,1,1,FAULQUEMONT,5397,0,0,0,1
175000,2020,0,1,90.0,3,1,1,1,SAINT-AVOLD,15748,0,0,0,1
179000,2020,0,1,96.0,3,1,1,1,FAULQUEMONT,5397,0,0,0,1
179000,2020,0,1,96.0,3,1,1,1,SAINT-AVOLD,15748,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,YUTZ,16064,0,0,0,1
350000,2020,0,1,136.0,3,1,3,0,KANFEN,1142,0,0,0,1
322000,2020,0,1,195.0,3,3,3,0,KANFEN,1142,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
310000,2020,0,1,124.0,4,1,1,1,MONDORFF,555,0,0,0,1
219000,2020,0,1,97.0,3,1,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,THIONVILLE,40665,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,SIERCK-LES-BAINS,1712,0,0,0,1
376000,2020,0,1,118.0,4,1,4,1,MALROY,367,0,0,0,1
343940,2020,0,1,108.0,4,1,4,1,MALROY,367,0,0,0,1
219000,2020,0,1,97.0,3,1,1,1,FLASTROFF,320,0,0,0,1
300000,2020,0,1,115.0,4,1,1,1,CONTZ-LES-BAINS,497,0,0,0,1
310000,2020,0,1,124.0,4,1,1,1,CONTZ-LES-BAINS,497,0,0,0,1
254000,2020,0,1,119.0,3,2,1,1,KIRSCHNAUMEN,472,0,0,0,1
280000,2020,0,1,134.0,3,2,1,1,KIRSCHNAUMEN,472,0,0,0,1
250000,2020,0,1,163.0,4,1,1,0,VIONVILLE,186,0,0,0,1
179000,2020,0,1,96.0,3,1,1,1,FOLSCHVILLER,4089,0,0,0,1
175000,2020,0,1,90.0,3,1,1,1,FOLSCHVILLER,4089,0,0,0,1
235000,2020,0,1,109.0,3,1,1,1,BOUZONVILLE,3993,0,0,0,1
170000,2020,0,1,90.0,3,1,1,1,FARÉBERSVILLER,5531,0,0,0,1
187000,2020,1,0,50.0,2,1,2,0,AUDUN-LE-TICHE,6753,0,0,0,1
258000,2020,1,0,84.02,2,1,1,0,TRESSANGE,2069,0,0,0,1
256000,2020,1,0,84.02,2,1,1,0,TRESSANGE,2069,0,0,0,1
256000,2020,1,0,84.02,2,1,1,0,TRESSANGE,2069,0,0,0,1
269000,2020,1,0,81.15,2,1,1,1,TRESSANGE,2069,0,0,0,1
